time,leftDuration,rightDuration,bottleVolume,pee,poo,sleepDuration,weight,note
2019-06-30 23:05,,,,1,0,,,
2019-06-30 23:05,,,30,,,,,
2019-06-30 23:06,,536,,,,,,
2019-06-30 23:06,632,,,,,,,
2019-06-30 23:06,,,,,,,,
2019-07-01 00:02,,,,0,1,,,
2019-07-01 00:43,,,,,,,,Sucking with shield
2019-07-01 00:44,,328,,,,,,
2019-07-01 02:10,,,,,,,,L side shield football with latch
2019-07-01 02:10,,,,,,,,"R side shield and football = latch
L side shield football with latch and sucking
EBM top up
"
2019-07-01 02:10,,,,1,0,,,
2019-07-01 02:11,,1018,,,,,,
2019-07-01 02:11,552,,,,,,,
2019-07-01 02:43,,,40,,,,,
2019-07-01 05:10,,,,,,,,"L side low football with shield
Gorilla hold with shield small latch
40ml EBM "
2019-07-01 05:10,,,,1,1,,,
2019-07-01 05:11,,342,,,,,,
2019-07-01 05:11,519,,,,,,,
2019-07-01 05:45,,,40,,,,,
2019-07-01 08:22,,,,,,,,"R side various holds with and without shield no latch
L side gorilla with shield some sucking and latch
40ml EBM "
2019-07-01 08:22,,,,0,1,,,
2019-07-01 08:23,,491,,,,,,
2019-07-01 08:23,792,,,,,,,
2019-07-01 09:16,,,,1,0,,,
2019-07-01 11:15,666,,,,,,,
2019-07-01 11:15,,673,,,,,,
2019-07-01 12:48,,,,1,0,,,
2019-07-01 12:57,,,,,,,3350,
2019-07-01 13:21,,,40,,,,,
2019-07-01 15:34,,187,,,,,,
2019-07-01 15:41,,,40,,,,,
2019-07-01 18:10,287,,,,,,,
2019-07-01 18:30,,,40,,,,,
2019-07-01 18:46,311,,,,,,,
2019-07-01 20:10,,,,1,1,,,
2019-07-01 21:39,,,,0,1,,,
2019-07-01 21:40,,743,,,,,,
2019-07-01 21:40,442,,,,,,,
2019-07-01 22:18,,,60,,,,,
2019-07-01 22:18,,,,,,,,
2019-07-02 01:06,,,,1,1,,,
2019-07-02 01:08,235,,,,,,,
2019-07-02 01:08,,393,,,,,,
2019-07-02 01:33,,,60,,,,,
2019-07-02 01:46,,,50,,,,,
2019-07-02 01:47,,,,,,19701,,
2019-07-02 07:15,,,,1,0,,,
2019-07-02 07:16,,515,,,,,,
2019-07-02 07:16,266,,,,,,,
2019-07-02 07:44,,,70,,,,,
2019-07-02 07:56,,,,0,1,,,
2019-07-02 07:57,,,,,,10573,,
2019-07-02 10:57,821,,,,,,,
2019-07-02 11:20,,,,1,1,,,
2019-07-02 11:20,,,60,,,,,
2019-07-02 11:30,,,,,,,3500,
2019-07-02 11:55,,,,,,7200,,
2019-07-02 11:56,,,70,,,,,
2019-07-02 14:30,,,70,,,,,
2019-07-02 14:36,,,,1,1,,,
2019-07-02 15:28,,,,,,619,,
2019-07-02 16:06,,,,1,0,,,
2019-07-02 16:21,,,,1,0,,,
2019-07-02 16:22,,,70,,,,,
2019-07-02 16:22,,,,,,11414,,
2019-07-02 19:39,,,,1,1,,,
2019-07-02 19:54,,,70,,,,,
2019-07-02 20:00,,,,,,10963,,
2019-07-02 23:02,,,,1,1,,,
2019-07-02 23:39,,,60,,,,,
2019-07-02 23:39,,,,,,,,
2019-07-03 01:16,,,80,,,,,
2019-07-03 01:31,,,,1,1,,,
2019-07-03 01:35,,,,,,10669,,
2019-07-03 04:33,,,90,,,,,
2019-07-03 04:34,,,,1,1,,,
2019-07-03 04:45,,,,,,10497,,
2019-07-03 07:51,,,80,,,,,
2019-07-03 07:55,,,,,,900,,
2019-07-03 08:28,,,,1,0,,,
2019-07-03 08:36,,,,,,8509,,
2019-07-03 11:24,,,80,,,,,
2019-07-03 11:33,,,,1,1,,,
2019-07-03 12:24,,,,1,1,,,
2019-07-03 12:24,,,,,,,3600,
2019-07-03 12:30,,,,,,3771,,
2019-07-03 13:34,273,,,,,,,
2019-07-03 13:46,,,60,,,,,
2019-07-03 13:48,,,,1,0,,,
2019-07-03 13:55,,,,,,3000,,
2019-07-03 14:18,,,,,,1593,,
2019-07-03 14:48,,,30,,,,,
2019-07-03 14:50,,,,,,6110,,
2019-07-03 16:00,,,,1,0,,,
2019-07-03 16:31,,,50,,,,,
2019-07-03 17:12,,,30,,,,,
2019-07-03 17:49,,,,1,0,,,
2019-07-03 18:00,,,60,,,,,
2019-07-03 18:04,,,,1,1,,,
2019-07-03 18:05,,,,,,13500,,
2019-07-03 21:55,,,70,,,,,
2019-07-03 22:32,,,30,,,,,
2019-07-03 22:33,,,,1,1,,,
2019-07-03 22:35,,,,,,15000,,
2019-07-03 22:35,,,,,,,,
2019-07-04 02:53,,,,1,1,,,
2019-07-04 03:11,,,90,,,,,
2019-07-04 03:28,,,,,,8805,,
2019-07-04 06:05,,,80,,,,,
2019-07-04 06:24,,,,,,8724,,
2019-07-04 08:57,,,80,,,,,
2019-07-04 08:58,,,,1,1,,,
2019-07-04 09:10,,,,,,6600,,
2019-07-04 11:00,,,,1,1,,,
2019-07-04 11:25,,300,,,,,,
2019-07-04 11:25,656,,,,,,,
2019-07-04 11:55,,,50,,,,,
2019-07-04 12:30,,,,,,3331,,
2019-07-04 13:27,,,,1,0,,,
2019-07-04 13:27,,,,,,,3650,
2019-07-04 13:28,655,,,,,,,
2019-07-04 13:28,,866,,,,,,
2019-07-04 13:57,,,30,,,,,
2019-07-04 14:00,,58,,,,,,
2019-07-04 14:01,,,30,,,,,
2019-07-04 14:02,352,,,,,,,
2019-07-04 14:39,,,,1,1,,,
2019-07-04 14:55,,,50,,,,,
2019-07-04 15:00,,,,,,7331,,
2019-07-04 17:05,,617,,,,,,
2019-07-04 17:05,699,,,,,,,
2019-07-04 17:57,,,100,,,,,
2019-07-04 17:57,,,,1,1,,,
2019-07-04 19:37,,,90,,,,,
2019-07-04 19:44,,,,1,1,,,
2019-07-04 19:45,,,,,,6784,,
2019-07-04 21:38,,193,,,,,,
2019-07-04 21:49,,290,,,,,,
2019-07-04 21:49,455,,,,,,,
2019-07-04 22:08,,,60,,,,,
2019-07-04 22:11,,,,1,1,,,
2019-07-04 22:34,,,60,,,,,
2019-07-04 22:35,,,,,,16200,,
2019-07-04 22:35,,,,,,,,
2019-07-05 03:33,,,50,,,,,
2019-07-05 03:39,,,,1,1,,,
2019-07-05 04:00,,,80,,,,,
2019-07-05 04:20,,,,,,9288,,
2019-07-05 06:44,,52,,,,,,
2019-07-05 06:54,,106,,,,,,
2019-07-05 06:54,61,,,,,,,
2019-07-05 07:13,,,120,,,,,
2019-07-05 07:24,,,,,,8862,,
2019-07-05 09:52,,,,0,1,,,
2019-07-05 09:53,,,,,,,3800,
2019-07-05 10:23,,,120,,,,,
2019-07-05 10:37,,,,1,1,,,
2019-07-05 11:22,,,,1,0,,,
2019-07-05 11:31,,,30,,,,,
2019-07-05 11:35,,,,,,7800,,
2019-07-05 14:15,,300,,,,,,
2019-07-05 14:15,683,,,,,,,
2019-07-05 14:42,,,,,,1758,,
2019-07-05 15:13,,969,,,,,,
2019-07-05 15:37,,,,1,1,,,
2019-07-05 15:38,,,,,,1026,,
2019-07-05 15:57,637,,,,,,,
2019-07-05 15:57,,165,,,,,,
2019-07-05 16:18,,,,0,1,,,
2019-07-05 16:25,,,,,,12830,,
2019-07-05 16:25,,,70,,,,,
2019-07-05 20:01,1311,,,,,,,
2019-07-05 20:01,,541,,,,,,
2019-07-05 20:37,,,,1,1,,,
2019-07-05 21:09,,,150,,,,,
2019-07-05 21:35,,,,0,1,,,
2019-07-05 21:45,,513,,,,,,
2019-07-05 21:45,364,,,,,,,
2019-07-05 22:21,,,30,,,,,
2019-07-05 22:45,,,,,,1726,,
2019-07-05 23:13,,,,1,1,,,
2019-07-05 23:14,425,,,,,,,
2019-07-05 23:25,,457,,,,,,
2019-07-05 23:25,,,,,,,,
2019-07-06 00:05,,,80,,,,,
2019-07-06 00:05,,,,,,378,,
2019-07-06 00:26,,,,,,1480,,
2019-07-06 00:52,797,,,,,,,
2019-07-06 00:52,,400,,,,,,
2019-07-06 01:25,,,90,,,,,
2019-07-06 01:28,,,,1,1,,,
2019-07-06 01:50,,,,1,1,,,
2019-07-06 02:58,,,,1,1,,,
2019-07-06 02:58,,,50,,,,,
2019-07-06 03:22,,170,,,,,,
2019-07-06 03:36,514,,,,,,,
2019-07-06 03:45,,,,,,1728,,
2019-07-06 04:17,,,,,,6382,,
2019-07-06 06:05,,921,,,,,,
2019-07-06 06:05,668,,,,,,,
2019-07-06 06:39,,,,1,1,,,
2019-07-06 06:43,,,60,,,,,
2019-07-06 06:52,,,,,,11736,,
2019-07-06 10:08,611,,,,,,,
2019-07-06 10:08,,1124,,,,,,
2019-07-06 10:57,,,130,,,,,
2019-07-06 11:02,,,,,,,3900,
2019-07-06 11:03,,,,1,1,,,
2019-07-06 11:45,,,,,,5376,,
2019-07-06 13:30,875,,,,,,,
2019-07-06 13:30,,1,,,,,,
2019-07-06 13:57,,,,1,1,,,
2019-07-06 13:59,,1667,,,,,,
2019-07-06 14:31,,,,,,9169,,
2019-07-06 17:04,,,30,,,,,
2019-07-06 17:04,,,,1,1,,,
2019-07-06 17:05,,833,,,,,,
2019-07-06 17:05,2986,,,,,,,
2019-07-06 18:34,,,50,,,,,
2019-07-06 19:19,,,,1,1,,,
2019-07-06 19:19,838,,,,,,,
2019-07-06 19:36,,,,,,205,,
2019-07-06 19:40,,1086,,,,,,
2019-07-06 19:40,187,,,,,,,
2019-07-06 20:20,,,,0,1,,,
2019-07-06 20:20,,,,1,0,,,
2019-07-06 20:21,222,,,,,,,
2019-07-06 20:57,,,120,,,,,
2019-07-06 21:25,,,,,,3509,,
2019-07-06 22:24,,719,,,,,,
2019-07-06 22:40,,,,1,1,,,
2019-07-06 22:44,,430,,,,,,
2019-07-06 22:44,636,,,,,,,
2019-07-06 23:09,155,,,,,,,
2019-07-06 23:19,,,40,,,,,
2019-07-06 23:43,,,80,,,,,
2019-07-06 23:43,,,,,,,,
2019-07-07 01:22,,,,1,1,,,
2019-07-07 01:22,,,,0,1,,,
2019-07-07 01:22,,,60,,,,,
2019-07-07 02:00,,,,,,4169,,
2019-07-07 03:18,,,,1,0,,,
2019-07-07 03:19,1243,,,,,,,
2019-07-07 03:19,,558,,,,,,
2019-07-07 04:00,,,,,,10900,,
2019-07-07 07:13,,,,1,1,,,
2019-07-07 07:14,,756,,,,,,
2019-07-07 07:14,1395,,,,,,,
2019-07-07 08:15,,,,,,5476,,
2019-07-07 09:47,120,,,,,,,
2019-07-07 09:53,,,,1,1,,,
2019-07-07 09:53,,,,,,4317,,
2019-07-07 11:13,,1312,,,,,,
2019-07-07 11:13,635,,,,,,,
2019-07-07 11:59,,,,1,1,,,
2019-07-07 12:03,565,,,,,,,
2019-07-07 12:15,,,,,,1103,,
2019-07-07 12:52,,488,,,,,,
2019-07-07 13:06,,,,,,1379,,
2019-07-07 13:34,,,,,,4780,,
2019-07-07 14:56,,,,,,,3900,
2019-07-07 14:56,,,,1,1,,,
2019-07-07 14:57,1481,,,,,,,
2019-07-07 14:57,,1551,,,,,,
2019-07-07 16:30,,,,0,1,,,
2019-07-07 16:40,,,80,,,,,
2019-07-07 17:00,,,,,,7712,,
2019-07-07 19:11,,,,1,1,,,
2019-07-07 19:12,918,,,,,,,
2019-07-07 19:45,,,,,,2756,,
2019-07-07 19:45,,248,,,,,,
2019-07-07 20:30,,1215,,,,,,
2019-07-07 21:04,,,,1,0,,,
2019-07-07 21:06,876,,,,,,,
2019-07-07 21:48,,,70,,,,,
2019-07-07 21:49,,,,0,1,,,
2019-07-07 21:51,,,,,,,3950,
2019-07-07 22:44,,,,1,1,,,
2019-07-07 23:20,,,80,,,,,
2019-07-07 23:50,,,,,,10574,,
2019-07-07 23:50,,,,,,,,
2019-07-08 00:06,,,30,,,,,
2019-07-08 02:46,,,,1,0,,,
2019-07-08 02:47,,1025,,,,,,
2019-07-08 02:47,679,,,,,,,
2019-07-08 03:28,,,,1,0,,,
2019-07-08 03:28,,,40,,,,,
2019-07-08 03:29,,,,,,11569,,
2019-07-08 06:41,,,,1,1,,,
2019-07-08 06:42,1331,,,,,,,
2019-07-08 06:42,,764,,,,,,
2019-07-08 08:00,,,80,,,,,
2019-07-08 08:09,,,,1,0,,,
2019-07-08 08:10,,,,,,11100,,
2019-07-08 11:30,,,,1,1,,,
2019-07-08 11:32,,,80,,,,,
2019-07-08 12:25,,,,,,,4000,
2019-07-08 12:25,,,,1,1,,,
2019-07-08 12:26,802,,,,,,,
2019-07-08 12:26,,326,,,,,,
2019-07-08 13:17,,,,,,8305,,
2019-07-08 15:35,,,,1,0,,,
2019-07-08 15:36,,1487,,,,,,
2019-07-08 15:36,703,,,,,,,
2019-07-08 16:41,,,100,,,,,
2019-07-08 16:45,,,,0,1,,,
2019-07-08 17:17,,,40,,,,,
2019-07-08 17:45,,,,,,6016,,
2019-07-08 19:25,1042,,,,,,,
2019-07-08 19:25,,523,,,,,,
2019-07-08 20:16,,,,1,1,,,
2019-07-08 20:16,,,80,,,,,
2019-07-08 20:35,,,,,,2294,,
2019-07-08 21:16,,,,1,0,,,
2019-07-08 21:19,,,,,,10346,,
2019-07-08 21:19,,,,,,,,
2019-07-09 00:20,,,,1,0,,,
2019-07-09 00:22,,901,,,,,,
2019-07-09 00:22,706,,,,,,,
2019-07-09 01:40,,,40,,,,,
2019-07-09 01:40,,,,,,8077,,
2019-07-09 03:59,,,,1,1,,,
2019-07-09 04:00,1046,,,,,,,
2019-07-09 04:00,,348,,,,,,
2019-07-09 05:05,,,100,,,,,
2019-07-09 05:24,,,,,,9042,,
2019-07-09 07:55,,,,1,1,,,
